Username;Password;Nombre;Apellido;Rut;Email;CentroCostoId;Enabled
Julie.Chen;316671520;Julie;Chen;27289775-1;c_julie1600@camanchaca.cl;4;0
Carlos.Guthrie;543883057;Carlos;Guthrie;25110509-K;gcarlos@camanchaca.cl;6;1
Gil.Dunn;801746610;Gil;Dunn;1959262-6;dunn_gil2185@camanchaca.cl;8;1
Forrest.Phillips;618977736;Forrest;Phillips;8411816-8;fphillips8878@camanchaca.cl;7;1
Armand.Mcgowan;592910710;Armand;Mcgowan;30740642-K;mcgowanarmand3662@camanchaca.cl;6;0
Connor.Combs;485527251;Connor;Combs;31108434-8;c.combs3025@camanchaca.cl;4;0
Uma.Simmons;690985188;Uma;Simmons;3653032-4;umasimmons2769@camanchaca.cl;1;1
Illiana.Allen;627559823;Illiana;Allen;17709609-1;allen_illiana@camanchaca.cl;5;0
Igor.Stokes;573979714;Igor;Stokes;16205509-7;stokes_igor5122@camanchaca.cl;1;1
Lareina.Rosa;378064332;Lareina;Rosa;32222498-2;rlareina@camanchaca.cl;4;0
Cody.Stein;370188577;Cody;Stein;13121126-0;cstein@camanchaca.cl;7;1
George.Kirkland;122037405;George;Kirkland;20229613-0;g-kirkland@camanchaca.cl;6;0
Rigel.Spears;333125504;Rigel;Spears;31893169-0;s_rigel@camanchaca.cl;3;0
Maggie.Parks;299168209;Maggie;Parks;31218992-5;parks.maggie@camanchaca.cl;4;0
Cherokee.Owens;511512842;Cherokee;Owens;16504761-3;o-cherokee9296@camanchaca.cl;3;1
Constance.Santana;882063838;Constance;Santana;1541710-2;santana.constance4188@camanchaca.cl;5;0
Castor.Cervantes;384493767;Castor;Cervantes;25172457-1;cervantes.castor@camanchaca.cl;5;1
Alexa.Oneil;897458477;Alexa;Oneil;47797913-0;aoneil4432@camanchaca.cl;2;0
Erich.Mcgee;727725301;Erich;Mcgee;42227159-7;m.erich@camanchaca.cl;2;0
Roanna.Mooney;439786249;Roanna;Mooney;63156-6;roannamooney@camanchaca.cl;3;1
Brett.Espinoza;366697534;Brett;Espinoza;11627221-0;brett_espinoza@camanchaca.cl;3;0
Tatyana.Jackson;872134547;Tatyana;Jackson;15622305-0;t.jackson3667@camanchaca.cl;4;1
Charles.Duncan;630411666;Charles;Duncan;19595432-1;charles.duncan@camanchaca.cl;3;1
Victoria.Vincent;274604006;Victoria;Vincent;45978469-1;v.vincent@camanchaca.cl;5;1
Lacey.Bowers;684461279;Lacey;Bowers;26298610-1;l-bowers@camanchaca.cl;4;0
Wing.Davenport;123828881;Wing;Davenport;29137972-9;wdavenport7874@camanchaca.cl;6;0
Channing.Hart;842999545;Channing;Hart;21624801-5;hart.channing@camanchaca.cl;7;0
Ross.Warren;153119791;Ross;Warren;1668224-1;rwarren@camanchaca.cl;7;0
Timon.Winters;649858772;Timon;Winters;13203391-9;timon-winters@camanchaca.cl;1;1
Branden.Stein;410547358;Branden;Stein;9437192-9;b_stein@camanchaca.cl;8;0
Nell.Durham;141310124;Nell;Durham;7822781-8;nell_durham@camanchaca.cl;1;1
Maya.Gray;758902884;Maya;Gray;17319617-2;gray-maya@camanchaca.cl;8;1
Gay.Mendez;204918167;Gay;Mendez;41557108-9;g.mendez8298@camanchaca.cl;8;0
Vincent.Tyson;73748436;Vincent;Tyson;46824600-7;tyson.vincent890@camanchaca.cl;3;1
Rigel.Floyd;979355692;Rigel;Floyd;18217723-7;r.floyd@camanchaca.cl;8;1
Kiona.Carver;587345240;Kiona;Carver;12809256-0;carverkiona@camanchaca.cl;5;0
Hayden.Reyes;689439461;Hayden;Reyes;34290605-2;r_hayden8201@camanchaca.cl;2;0
Lavinia.Merrill;677125523;Lavinia;Merrill;10352-7;l.merrill4573@camanchaca.cl;1;1
Inez.Downs;682974992;Inez;Downs;17913675-9;i.downs4942@camanchaca.cl;2;1
Wesley.Foreman;908996862;Wesley;Foreman;867539-2;wesley.foreman@camanchaca.cl;6;0
Tallulah.Jennings;657579761;Tallulah;Jennings;24642361-K;tjennings@camanchaca.cl;5;0
Alan.Leach;332677418;Alan;Leach;42686125-9;leachalan@camanchaca.cl;6;0
Bertha.Gregory;266878787;Bertha;Gregory;3115298-4;bertha.gregory@camanchaca.cl;4;0
Walker.Gamble;227521001;Walker;Gamble;29788697-5;g_walker@camanchaca.cl;4;1
Athena.Nelson;31754829;Athena;Nelson;35984852-8;nelson-athena@camanchaca.cl;3;1
Megan.Johnson;537258184;Megan;Johnson;38360249-1;johnson_megan2096@camanchaca.cl;1;0
Brendan.Russo;691945902;Brendan;Russo;39770644-3;russo.brendan3172@camanchaca.cl;3;1
Cairo.Grimes;989886629;Cairo;Grimes;37307663-5;cgrimes@camanchaca.cl;7;0
Nell.Bray;824455873;Nell;Bray;26798594-4;n.bray@camanchaca.cl;7;1
Riley.Jackson;548063625;Riley;Jackson;2020952-6;riley.jackson@camanchaca.cl;3;0
April.Strong;350939181;April;Strong;27264921-9;strong.april@camanchaca.cl;6;0
Maite.Joyner;918760251;Maite;Joyner;13396142-9;mjoyner@camanchaca.cl;7;1
Dillon.Simpson;346762433;Dillon;Simpson;29733933-8;s_dillon584@camanchaca.cl;4;1
Hadley.West;560348788;Hadley;West;2467203-4;w-hadley7275@camanchaca.cl;1;0
Hammett.Jennings;442869715;Hammett;Jennings;4694658-8;jenningshammett2909@camanchaca.cl;6;1
Lilah.Henson;608530201;Lilah;Henson;8805321-4;hensonlilah2839@camanchaca.cl;8;1
Yasir.Pratt;692124800;Yasir;Pratt;43931269-6;ypratt@camanchaca.cl;1;0
Quintessa.Joyce;899677399;Quintessa;Joyce;7448121-3;joyce-quintessa@camanchaca.cl;4;1
Josephine.Bolton;269110802;Josephine;Bolton;2187543-0;bolton.josephine1938@camanchaca.cl;2;1
Graham.Vargas;447425668;Graham;Vargas;11689896-9;v-graham@camanchaca.cl;3;1
Elijah.Wilkinson;828657888;Elijah;Wilkinson;2235199-0;wilkinsonelijah9929@camanchaca.cl;6;1
Guinevere.Berg;249547535;Guinevere;Berg;47296931-5;guinevereberg8096@camanchaca.cl;2;0
Xena.Delgado;950888073;Xena;Delgado;40474674-K;dxena@camanchaca.cl;8;1
Ryan.Kramer;792818230;Ryan;Kramer;30746700-3;kramer.ryan@camanchaca.cl;2;1
Cecilia.Campos;858586097;Cecilia;Campos;40473102-5;c-cecilia@camanchaca.cl;6;0
MacKensie.Sampson;265111612;MacKensie;Sampson;7738852-4;s_mackensie2031@camanchaca.cl;7;0
Yeo.Lindsay;652059196;Yeo;Lindsay;3192272-0;ylindsay1332@camanchaca.cl;6;0
Kimberly.Walls;317912637;Kimberly;Walls;20760830-0;w-kimberly@camanchaca.cl;8;1
Megan.Gibson;292931701;Megan;Gibson;25778544-0;gibsonmegan3068@camanchaca.cl;5;0
Eugenia.Perkins;144329268;Eugenia;Perkins;11920330-9;perkins.eugenia8098@camanchaca.cl;1;0
Michelle.Stevens;986248956;Michelle;Stevens;25425240-9;stevens-michelle@camanchaca.cl;3;1
Lani.Wilder;198669618;Lani;Wilder;13420686-1;w.lani@camanchaca.cl;1;1
Fredericka.Miles;169857196;Fredericka;Miles;45671281-9;miles.fredericka9475@camanchaca.cl;3;1
Russell.Jordan;899383572;Russell;Jordan;37602147-5;jordan.russell@camanchaca.cl;4;0
Sonia.Gould;667798146;Sonia;Gould;23822566-3;sgould@camanchaca.cl;2;0
Clare.Dean;436786132;Clare;Dean;34613195-0;dean_clare2045@camanchaca.cl;5;1
Cameron.Hubbard;428839776;Cameron;Hubbard;39164215-K;hubbard.cameron@camanchaca.cl;1;0
Hu.Schneider;35633236;Hu;Schneider;37995192-9;h-schneider118@camanchaca.cl;7;1
Sigourney.Roach;632557148;Sigourney;Roach;4255222-4;roach_sigourney5203@camanchaca.cl;5;1
Orlando.Travis;902717723;Orlando;Travis;2364317-0;travis.orlando7222@camanchaca.cl;6;1
Beau.Mcdowell;385164984;Beau;Mcdowell;30564132-4;mcdowellbeau1450@camanchaca.cl;4;0
Lillian.Medina;121731264;Lillian;Medina;21231165-0;medinalillian9572@camanchaca.cl;6;0
Tasha.Lott;336240128;Tasha;Lott;24838733-5;t_lott8864@camanchaca.cl;4;0
Sybill.Cabrera;972789547;Sybill;Cabrera;35342978-7;cabrerasybill6777@camanchaca.cl;3;0
Nita.Salas;201403726;Nita;Salas;4265817-0;s.nita@camanchaca.cl;4;0
Bethany.Best;804291901;Bethany;Best;35846890-K;bestbethany@camanchaca.cl;6;0
Macaulay.Rush;340042928;Macaulay;Rush;5671675-0;mrush@camanchaca.cl;3;0
Linda.Sharpe;910720152;Linda;Sharpe;42566530-8;sharpe-linda5739@camanchaca.cl;6;0
Rylee.Sanchez;28273677;Rylee;Sanchez;49752425-3;rylee.sanchez@camanchaca.cl;4;1
Nicole.Shaffer;448547722;Nicole;Shaffer;28562948-9;shaffer_nicole6776@camanchaca.cl;1;1
Isaac.Allen;536417517;Isaac;Allen;28386813-3;i-allen@camanchaca.cl;2;0
Pearl.Baxter;676034804;Pearl;Baxter;44159994-3;baxter_pearl@camanchaca.cl;2;1
Raja.Nielsen;960052125;Raja;Nielsen;47359636-9;n.raja6870@camanchaca.cl;3;0
Coby.Bruce;126456431;Coby;Bruce;3425190-8;c.bruce174@camanchaca.cl;1;0
Tate.Turner;596338166;Tate;Turner;5020220-8;tturner3186@camanchaca.cl;8;0
Britanney.Foreman;789336454;Britanney;Foreman;31699676-0;foreman-britanney7260@camanchaca.cl;2;1
Colin.Horton;393089634;Colin;Horton;930270-0;hcolin3777@camanchaca.cl;2;1
Amber.Mcneil;28054932;Amber;Mcneil;48844154-K;a_mcneil@camanchaca.cl;1;1
Cameron.Emerson;805599718;Cameron;Emerson;32316729-K;e_cameron8978@camanchaca.cl;7;1
Glenna.Fuentes;898798869;Glenna;Fuentes;29654380-2;g_fuentes@camanchaca.cl;7;0
Lillith.Edwards;367663911;Lillith;Edwards;2454893-7;edwardslillith@camanchaca.cl;4;0
Eric.Jarvis;44674941;Eric;Jarvis;46934708-7;jarvis-eric1196@camanchaca.cl;8;0
Laurel.Kirkland;273667548;Laurel;Kirkland;15653536-2;l.kirkland256@camanchaca.cl;2;1
Brynne.Mcclure;414535964;Brynne;Mcclure;8997252-3;b-mcclure4625@camanchaca.cl;4;1
Farrah.Kerr;84475438;Farrah;Kerr;32620842-6;farrah_kerr@camanchaca.cl;1;0
Cooper.Conway;935488952;Cooper;Conway;46672517-K;c-conway5684@camanchaca.cl;7;0
Aristotle.Sharpe;936105814;Aristotle;Sharpe;8606270-4;saristotle@camanchaca.cl;2;1
Luke.Vincent;656010891;Luke;Vincent;3482633-1;vincentluke8408@camanchaca.cl;5;1
Abbot.Day;373006547;Abbot;Day;38327358-7;abbot.day8182@camanchaca.cl;3;0
Elliott.Guzman;524882844;Elliott;Guzman;2047441-6;guzman_elliott8154@camanchaca.cl;4;0
Laurel.Nicholson;293195045;Laurel;Nicholson;29428947-K;lnicholson2061@camanchaca.cl;1;1
Cara.Horn;582882193;Cara;Horn;49227985-4;horn_cara7842@camanchaca.cl;3;1
Jane.Alexander;536442223;Jane;Alexander;36583804-6;alexander-jane@camanchaca.cl;6;1
Preston.Davenport;126193245;Preston;Davenport;4636267-5;p-davenport@camanchaca.cl;6;0
Steven.Barnett;482921447;Steven;Barnett;46453488-1;barnett_steven@camanchaca.cl;7;1
Noah.Jimenez;964933153;Noah;Jimenez;22311974-3;jnoah5080@camanchaca.cl;1;0
Melyssa.Bird;666174831;Melyssa;Bird;17984935-6;m_bird@camanchaca.cl;6;0
MacKenzie.Tucker;465009884;MacKenzie;Tucker;46501221-8;t_mackenzie@camanchaca.cl;4;0
Sebastian.Hardy;324602223;Sebastian;Hardy;4833997-2;s.hardy@camanchaca.cl;4;0
Hayley.Sharp;965989480;Hayley;Sharp;22221567-6;hsharp710@camanchaca.cl;2;1
Xantha.Patterson;260622977;Xantha;Patterson;46662353-9;xantha_patterson6192@camanchaca.cl;6;0
Emery.Contreras;443437262;Emery;Contreras;41820884-8;c-emery@camanchaca.cl;1;0
Samson.Fox;35942764;Samson;Fox;26294118-3;fox.samson@camanchaca.cl;8;0
Amaya.Black;584914457;Amaya;Black;9178711-3;b.amaya@camanchaca.cl;3;0
John.Wise;130876969;John;Wise;8271310-7;jwise4333@camanchaca.cl;8;0
Adrian.Soto;652384150;Adrian;Soto;11965424-6;asoto5865@camanchaca.cl;8;0
Ishmael.Elliott;408564892;Ishmael;Elliott;34140309-K;i_elliott@camanchaca.cl;6;0
Elmo.Bauer;318724617;Elmo;Bauer;15295514-6;ebauer@camanchaca.cl;1;1
Keely.Hammond;531212533;Keely;Hammond;27627399-K;hammond.keely9187@camanchaca.cl;7;1
Kelsey.Alvarado;224764066;Kelsey;Alvarado;82047-4;k-alvarado7582@camanchaca.cl;2;0
Adele.Bruce;491328873;Adele;Bruce;26277457-0;bruce-adele@camanchaca.cl;6;1
Blake.Pollard;436613580;Blake;Pollard;4853460-0;bpollard3260@camanchaca.cl;4;0
Hilel.Adkins;596563931;Hilel;Adkins;39388475-4;hilel.adkins5142@camanchaca.cl;1;1
Camden.Guerra;929859995;Camden;Guerra;45517273-K;c.guerra268@camanchaca.cl;8;0
Pearl.Harmon;251649517;Pearl;Harmon;4247402-9;pearl_harmon5731@camanchaca.cl;2;1
Allen.Hatfield;709895812;Allen;Hatfield;16326842-6;h.allen6299@camanchaca.cl;8;0
Francesca.Mueller;744674458;Francesca;Mueller;3871519-4;mueller_francesca@camanchaca.cl;1;0
Hilda.Delacruz;929246288;Hilda;Delacruz;46149611-3;delacruz.hilda1871@camanchaca.cl;6;0
Maxwell.Daniel;893410099;Maxwell;Daniel;7928987-6;m-daniel@camanchaca.cl;2;1
Harlan.Owen;768086238;Harlan;Owen;40351833-6;harlan.owen@camanchaca.cl;2;1
Armand.England;486653245;Armand;England;43904491-8;englandarmand4767@camanchaca.cl;6;1
Tate.Boyer;950766146;Tate;Boyer;24298778-0;t.boyer@camanchaca.cl;5;1
Stacey.Hopkins;287968962;Stacey;Hopkins;38917542-0;hstacey@camanchaca.cl;3;1
Luke.Klein;544781922;Luke;Klein;12216220-6;klein-luke2553@camanchaca.cl;2;0
Camilla.Drake;155243071;Camilla;Drake;33945744-1;c-drake2844@camanchaca.cl;5;0
Hiram.Jones;992709447;Hiram;Jones;45975434-2;h.jones317@camanchaca.cl;3;0
Alexis.Navarro;948303274;Alexis;Navarro;21804826-9;a-navarro4639@camanchaca.cl;1;0
Lester.Graves;777407725;Lester;Graves;37748890-3;graveslester8811@camanchaca.cl;5;1
George.Stevens;401324036;George;Stevens;47499900-9;g_stevens8260@camanchaca.cl;3;1
Jenette.Cruz;225197770;Jenette;Cruz;7114776-2;j.cruz3048@camanchaca.cl;8;0
Hadley.Nieves;280824653;Hadley;Nieves;18470275-4;hadleynieves@camanchaca.cl;6;1
Brenna.Riddle;395780232;Brenna;Riddle;22328431-0;b-riddle6853@camanchaca.cl;8;1
Keegan.Knight;757104177;Keegan;Knight;39514625-4;kkeegan@camanchaca.cl;5;1
Griffith.Bowman;382500481;Griffith;Bowman;38452755-8;bowman-griffith@camanchaca.cl;6;0
Nero.Kennedy;866845857;Nero;Kennedy;4445173-5;n_kennedy5574@camanchaca.cl;7;1
Gretchen.Bright;422843257;Gretchen;Bright;37687573-3;g.bright@camanchaca.cl;1;1
Cole.Calhoun;996161541;Cole;Calhoun;25266574-9;cole-calhoun6012@camanchaca.cl;7;1
Whoopi.Tillman;84351268;Whoopi;Tillman;23734215-1;whoopi.tillman@camanchaca.cl;1;0
Driscoll.Jackson;437409503;Driscoll;Jackson;4841422-2;d-jackson@camanchaca.cl;2;1
Ocean.Carpenter;120373150;Ocean;Carpenter;4595015-8;o.carpenter5694@camanchaca.cl;1;0
Harding.Wolf;944494712;Harding;Wolf;2182648-0;harding_wolf8520@camanchaca.cl;7;1
Arden.Combs;909912177;Arden;Combs;4099442-4;a.combs@camanchaca.cl;8;0
Germaine.Brooks;840719134;Germaine;Brooks;4658758-8;g_brooks8098@camanchaca.cl;5;1
Frances.Woodard;235834613;Frances;Woodard;2797875-4;w.frances@camanchaca.cl;7;1
Cairo.Alvarez;583392883;Cairo;Alvarez;16642486-0;alvarez.cairo6594@camanchaca.cl;5;1
Breanna.Gallagher;570052308;Breanna;Gallagher;3848752-3;breanna_gallagher@camanchaca.cl;1;1
Susan.Baker;213855911;Susan;Baker;16116322-8;baker.susan7684@camanchaca.cl;3;0
Brett.Estrada;786834385;Brett;Estrada;47340547-4;estrada-brett615@camanchaca.cl;7;1
Harper.Snyder;714412126;Harper;Snyder;49151642-9;harper_snyder4992@camanchaca.cl;1;0
Kimberly.Tyler;173411736;Kimberly;Tyler;30944470-1;kimberlytyler@camanchaca.cl;7;0
Arsenio.West;630271688;Arsenio;West;894131-9;arsenio.west3933@camanchaca.cl;2;0
Christine.Gallegos;145705696;Christine;Gallegos;23419884-K;gallegos-christine6376@camanchaca.cl;3;1
Zelenia.Barrett;850961290;Zelenia;Barrett;3246435-1;z.barrett@camanchaca.cl;7;0
Phelan.Dickson;870189242;Phelan;Dickson;42527675-1;d.phelan@camanchaca.cl;6;1
Nichole.Craig;118894151;Nichole;Craig;4720193-4;n-craig@camanchaca.cl;2;0
Shelby.Olsen;772953392;Shelby;Olsen;36521828-5;olsen.shelby@camanchaca.cl;6;0
Rooney.Franklin;43802826;Rooney;Franklin;14535607-5;frooney8610@camanchaca.cl;4;0
Dora.Haney;773170794;Dora;Haney;458158-K;haney.dora@camanchaca.cl;6;1
Marsden.Warren;866610691;Marsden;Warren;35697426-3;m-warren7733@camanchaca.cl;6;0
Orla.Rollins;849057927;Orla;Rollins;767315-9;o-rollins9705@camanchaca.cl;4;1
Sacha.Bowman;557628919;Sacha;Bowman;12167315-0;s-bowman@camanchaca.cl;6;0
Shafira.Fowler;49729228;Shafira;Fowler;28488541-4;shafirafowler3950@camanchaca.cl;3;0
Camille.Fisher;330918360;Camille;Fisher;15147300-8;c.fisher@camanchaca.cl;2;1
Amos.Rodriquez;869192840;Amos;Rodriquez;31476635-0;rodriquez.amos@camanchaca.cl;8;0
Neve.Delaney;544584784;Neve;Delaney;16461981-8;ndelaney1932@camanchaca.cl;4;0
Meredith.Chang;648851118;Meredith;Chang;46231921-5;m_chang7336@camanchaca.cl;3;1
Haviva.Gibbs;303513126;Haviva;Gibbs;21467174-3;gibbshaviva@camanchaca.cl;2;1
Evan.Robertson;145802459;Evan;Robertson;3669919-1;r-evan@camanchaca.cl;8;1
Justine.Wells;166284823;Justine;Wells;49952728-4;j.wells@camanchaca.cl;4;1
Isaiah.Cervantes;525656477;Isaiah;Cervantes;3854689-9;cervantes.isaiah@camanchaca.cl;6;0
Alfreda.Hudson;59093649;Alfreda;Hudson;5742137-1;a.hudson@camanchaca.cl;4;0
Ishmael.William;742311025;Ishmael;William;12925988-4;wishmael@camanchaca.cl;1;0
Chandler.Bowers;636799754;Chandler;Bowers;3833282-1;c_bowers@camanchaca.cl;8;1
Ryder.Warren;91770382;Ryder;Warren;47423886-5;r-warren8165@camanchaca.cl;3;0
Kadeem.Dennis;270430516;Kadeem;Dennis;11151706-1;kdennis1012@camanchaca.cl;1;0
Victor.Ortega;684907376;Victor;Ortega;44904978-0;v-ortega7702@camanchaca.cl;3;1
Minerva.House;660074606;Minerva;House;7480600-7;minerva_house@camanchaca.cl;3;0
Elizabeth.Rutledge;868624494;Elizabeth;Rutledge;4626011-2;e.rutledge1091@camanchaca.cl;4;1
Dominique.Burt;706715757;Dominique;Burt;19628517-2;d.burt@camanchaca.cl;5;0
Elvis.Gregory;333579571;Elvis;Gregory;929798-7;e.gregory@camanchaca.cl;6;1
Serina.Barber;512642047;Serina;Barber;2162549-3;serina.barber3443@camanchaca.cl;8;1
Victoria.Gallagher;385702024;Victoria;Gallagher;42417230-8;v.gallagher@camanchaca.cl;6;0
Rama.Barron;195628050;Rama;Barron;26277683-2;barron-rama5325@camanchaca.cl;5;0
Hedda.Flynn;539180901;Hedda;Flynn;39915110-4;f_hedda@camanchaca.cl;2;1
Maia.Hartman;786600506;Maia;Hartman;28145407-2;hartman_maia7571@camanchaca.cl;5;1
Leroy.Watson;136624853;Leroy;Watson;20927396-9;leroy_watson@camanchaca.cl;7;0
Paul.Jarvis;908296770;Paul;Jarvis;20190826-4;paul-jarvis@camanchaca.cl;3;0
Claudia.Galloway;673516344;Claudia;Galloway;48861683-8;g_claudia1784@camanchaca.cl;5;0
Deacon.Reyes;638644955;Deacon;Reyes;41352898-4;r.deacon4080@camanchaca.cl;5;1
Ian.Rocha;196348488;Ian;Rocha;25654620-5;irocha@camanchaca.cl;7;1
Shad.Walton;996734611;Shad;Walton;3480905-4;s.walton4780@camanchaca.cl;7;0
Josephine.Hamilton;993808050;Josephine;Hamilton;49397528-5;hamilton.josephine@camanchaca.cl;7;0
Hunter.Woods;544063449;Hunter;Woods;20773833-6;h.woods824@camanchaca.cl;3;1
Acton.Pugh;94162068;Acton;Pugh;36400699-3;a_pugh@camanchaca.cl;2;0
Samson.Carlson;404680785;Samson;Carlson;33388953-6;scarlson@camanchaca.cl;8;0
Fritz.Schmidt;301652928;Fritz;Schmidt;6694959-1;f-schmidt4112@camanchaca.cl;3;0
Fitzgerald.Mendoza;569682126;Fitzgerald;Mendoza;22508338-K;mendoza_fitzgerald2230@camanchaca.cl;2;1
Ivor.Powell;761406516;Ivor;Powell;13176734-K;i_powell1990@camanchaca.cl;3;0
Hammett.Roth;684020193;Hammett;Roth;587555-2;hammett_roth5188@camanchaca.cl;6;0
Illana.Hampton;976426255;Illana;Hampton;47881619-7;hamptonillana@camanchaca.cl;7;1
Patricia.Richards;867456489;Patricia;Richards;19840325-3;patricia-richards6273@camanchaca.cl;1;1
Hope.Mendez;705923210;Hope;Mendez;17793304-K;mendezhope@camanchaca.cl;1;0
Kamal.Nash;123554024;Kamal;Nash;26838732-3;nash.kamal8510@camanchaca.cl;1;1
Nolan.Boyd;611158575;Nolan;Boyd;46345205-9;boyd.nolan4507@camanchaca.cl;5;1
Quentin.Stewart;58449664;Quentin;Stewart;21653396-8;quentin.stewart5562@camanchaca.cl;4;1
Patricia.Ford;647142830;Patricia;Ford;9945633-7;ford_patricia@camanchaca.cl;5;1
Shaeleigh.Daugherty;583129702;Shaeleigh;Daugherty;6504296-7;dshaeleigh3422@camanchaca.cl;8;0
Hadassah.Campbell;454392118;Hadassah;Campbell;7813491-7;h.campbell@camanchaca.cl;3;0
Alexis.Bass;105894264;Alexis;Bass;30672707-9;bass_alexis7193@camanchaca.cl;6;0
Owen.Scott;145555099;Owen;Scott;36456468-6;o_scott8756@camanchaca.cl;6;1
Jared.Knapp;929974155;Jared;Knapp;5714958-2;j_knapp@camanchaca.cl;6;0
Thane.Huffman;119846434;Thane;Huffman;16714446-2;thane-huffman972@camanchaca.cl;6;0
Kieran.Marsh;461635939;Kieran;Marsh;15775198-0;m-kieran@camanchaca.cl;3;0
Cynthia.Sharp;563259974;Cynthia;Sharp;4097786-4;csharp9089@camanchaca.cl;3;0
Jordan.Faulkner;611293060;Jordan;Faulkner;11587838-7;j_faulkner6621@camanchaca.cl;3;1
Cody.Ortega;914798321;Cody;Ortega;43459672-6;cody_ortega5311@camanchaca.cl;7;0
Clare.Guzman;629897207;Clare;Guzman;34618348-9;c-guzman6936@camanchaca.cl;3;1
Kellie.Sears;974633450;Kellie;Sears;26929261-K;s_kellie@camanchaca.cl;4;0
Wilma.Barton;29491143;Wilma;Barton;38492862-5;bwilma7537@camanchaca.cl;2;0
Fulton.Snyder;882705717;Fulton;Snyder;19720261-0;snyder_fulton8045@camanchaca.cl;7;1
Alfreda.Wolfe;170144955;Alfreda;Wolfe;38959170-K;wolfe.alfreda418@camanchaca.cl;5;0
Hanna.Trevino;417809141;Hanna;Trevino;29119915-1;trevino_hanna@camanchaca.cl;6;0
Kuame.Ochoa;425233367;Kuame;Ochoa;24602168-6;k_ochoa@camanchaca.cl;6;0
Gannon.Bullock;364026461;Gannon;Bullock;3510827-0;g-bullock1990@camanchaca.cl;8;0
Moses.Bruce;105323554;Moses;Bruce;26238504-3;m_bruce3020@camanchaca.cl;3;0
Ann.Blackwell;652253837;Ann;Blackwell;46166540-3;ann.blackwell1695@camanchaca.cl;4;0
Axel.Herman;28796775;Axel;Herman;41562844-7;a-herman8056@camanchaca.cl;6;1
Bethany.Orr;394283340;Bethany;Orr;41471947-3;b-orr3595@camanchaca.cl;2;1
Vielka.Buckner;584482650;Vielka;Buckner;14313287-0;b_vielka@camanchaca.cl;7;0
Kameko.Pope;473714747;Kameko;Pope;19516250-6;pope.kameko8892@camanchaca.cl;3;1
Sonia.Pruitt;601461399;Sonia;Pruitt;11128650-7;s-pruitt@camanchaca.cl;8;1
Otto.Caldwell;886333773;Otto;Caldwell;12940663-1;ottocaldwell7923@camanchaca.cl;8;0
